EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Phi	Theta	Time
3937	2	1	0	0	4	1	0	0	90	0.349872	
4001	1	1	329.982	0	2	1	0	0	90	0.317085	
4001	2	1	0	0	4	10	0	0	90	0.348184	
4006	1	1	0	0	4	10	0	0	90	0.317135	
4008	1	1	118.081	0	2	10	0	0	90	0.316973	
4008	2	1	0	0	4	1	0	0	90	0.331727	
4035	1	1	135.067	0	2	10	0	0	90	0.317234	
4035	2	1	0	0	4	1	0	0	90	0.335727	
4038	1	1	0	0	4	1	0	0	90	0.317262	
4041	1	1	0	0	4	1	0	0	90	0.317104	
4087	1	1	0	0	4	10	0	0	90	0.317255	
4098	1	1	0	0	4	1	0	0	90	0.317016	
4099	1	1	0	0	4	10	0	0	90	0.317007	
4119	1	1	0	0	4	10	0	0	90	0.317183	
4122	1	1	25.6515	0	2	10	0	0	90	0.317147	
4122	2	1	5.03486	0	2	10	0	0	90	0.323668	
4122	3	1	0	0	4	10	0	0	90	0.332417	
4125	1	1	0	0	4	1	0	0	90	0.357626	
4137	1	1	0	0	3	1	0	0	90	0.316932	
4137	2	1	0	0	4	1	0	0	90	0.339731	
4158	1	1	0	0	4	10	0	0	90	0.317413	
4203	1	1	0	0	4	10	0	0	90	0.317001	
4206	1	1	190.512	0	2	1	0	0	90	0.316978	
4206	2	1	0	0	4	10	0	0	90	0.326864	
4235	1	1	365.708	0	2	10	0	0	90	0.317036	
4235	2	1	0	0	4	10	0	0	90	0.337753	
4289	1	1	0	0	4	1	0	0	90	0.31736	
4299	1	1	0	0	4	1	0	0	90	0.31694	
4306	1	1	0	0	4	10	0	0	90	0.316901	
4314	1	1	0	0	4	1	0	0	90	0.317287	
4327	1	1	0	0	4	10	0	0	90	0.317206	
4340	1	1	400.462	0	2	10	0	0	90	0.317032	
4340	2	1	17.0778	0	2	10	0	0	90	0.32249	
4340	3	1	0	0	4	1	0	0	90	0.34157	
4343	1	1	242.317	0	2	10	0	0	90	0.317288	
4343	2	1	0	0	4	1	0	0	90	0.32318	
4358	1	1	378.528	0	2	10	0	0	90	0.31709	
4358	2	1	0	0	4	1	0	0	90	0.343379	
4367	1	1	0	0	4	1	0	0	90	0.317305	
4373	1	1	0	0	4	1	0	0	90	0.317204	
4381	1	1	430.209	0	2	1	0	0	90	0.317123	
4381	2	1	0	0	4	10	0	0	90	0.333734	
4388	1	1	0	0	4	10	0	0	90	0.316947	
4396	1	1	0	0	4	10	0	0	90	0.316973	
4397	1	1	0	0	4	1	0	0	90	0.316896	
4399	1	1	0	0	4	1	0	0	90	0.317011	
4413	1	1	0	0	4	1	0	0	90	0.317343	
4428	1	1	0	0	4	1	0	0	90	0.317329	
4430	1	1	0	0	4	1	0	0	90	0.317013	
4432	1	1	446.311	0	2	10	0	0	90	0.317166	
4432	2	1	0	0	4	10	0	0	90	0.337018	
